tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=52.3													
541	42.9		9.9		4.3		424.9		800		25.0		52.3
load=54.6													
2040	43.4		9.9		4.4		429.9		800		25.0		54.6
load=56.9													
2551	43.2		9.9		4.4		429.4		800		25.0		56.9
load=59.2													
3062	42.9		9.9		4.3		425.5		800		25.0		59.2
load=61.5													
3573	43.1		9.9		4.3		427.3		800		25.0		61.5
load=63.9													
4084	42.6		9.9		4.3		422.3		800		25.0		63.9
load=66.3													
4595	42.5		9.9		4.3		421.2		800		25.0		66.3
load=68.4													
5106	43.4		9.9		4.4		430.7		800		25.0		68.4
load=70.6													
5617	43.4		9.9		4.4		429.3		800		25.0		70.6
load=73.6													
6128	42.1		9.9		4.2		417.4		800		25.0		73.6
load=75.5													
6639	43.4		9.9		4.4		429.9		800		25.0		75.5
load=77.6													
7150	43.2		9.9		4.4		429.1		800		25.0		77.6
load=79.4													
7661	43.4		9.9		4.4		429.9		800		25.0		79.4
load=81.2													
8172	43.5		9.9		4.4		431.7		800		25.0		81.2
load=82.7													
8683	43.8		9.9		4.4		433.9		800		25.0		82.7
load=83.7													
9194	41.9		9.9		4.2		415.4		800		25.0		83.7
load=85.2													
9705	43.4		9.9		4.4		430.2		800		25.0		85.2
load=82.6													
10216	42.9		9.9		4.3		426.8		800		25.0		82.6
load=83.7													
10727	43.4		9.9		4.4		429.6		800		25.0		83.7
load=85.1													
11238	43.4		9.9		4.4		430.2		800		25.0		85.1
load=86.4													
11749	43.5		9.9		4.4		431.7		800		25.0		86.4
load=87.4													
12260	43.5		9.9		4.4		431.0		800		25.0		87.4
load=89.0													
12771	43.2		9.9		4.4		427.8		800		25.0		89.0
load=90.5													
13282	43.5		9.9		4.4		431.7		800		25.0		90.5
load=91.5													
13793	42.6		9.9		4.3		423.6		800		25.0		91.5
load=92.7													
14304	42.9		9.9		4.3		425.6		800		25.0		92.7
load=93.8													
14815	41.9		9.9		4.2		416.3		800		25.0		93.8
load=94.9													
15326	43.5		9.9		4.4		431.3		800		25.0		94.9
load=95.0													
15837	43.2		9.9		4.4		429.1		800		25.0		95.0
load=95.0													
16348	43.5		9.9		4.4		432.3		800		25.0		95.0
load=95.0													
16859	43.4		9.9		4.4		429.9		800		25.0		95.0
load=95.0													
17370	43.4		9.9		4.4		430.5		800		25.0		95.0
load=95.0													
17881	43.2		9.9		4.4		429.1		800		25.0		95.0
load=95.0													
18392	43.1		9.9		4.3		426.7		800		25.0		95.0
load=95.0													
18903	43.2		9.9		4.4		428.1		800		25.0		95.0
load=95.0													
19414	42.9		9.9		4.3		426.2		800		25.0		95.0
load=95.0													
19925	44.0		9.9		4.4		436.3		800		25.0		95.0
load=95.0													
20436	43.1		9.9		4.3		427.3		800		25.0		95.0
